Company,Price,Change %
3M Company (MMM),108.12,(-0.73%)
Intel Corporation (INTC),47.12,(-1.09%)
American Express Company (AXP),182.04,(-1.62%)
Apple Inc. (AAPL),185.92,(+0.18%)
The Boeing Company (BA),217.70,(-2.23%)
"Cisco Systems, Inc. (CSCO)",50.34,(-0.20%)
"The Goldman Sachs Group, Inc. (GS)",377.75,(-0.53%)
JPMorgan Chase & Co. (JPM),169.05,(-0.73%)
"Salesforce, Inc. (CRM)",271.93,(+0.20%)
Verizon Communications Inc. (VZ),38.56,(+1.74%)
Global X DAX Germany ETF (DAX),30.57,(+0.26%)
Camden National Corporation (CAC),36.38,(-1.19%)
Johnson Controls International plc (JCI),56.34,(-2.51%)
VanEck Indonesia Index ETF (IDX),16.56,(+0.42%)
VanEck HIP Sustainable Muni ETF (SMI),46.46,(-0.02%)
